,index,result,preprocessing_time,inference_time,translation_time,preprocessing_timeout,inference_timeout,belief_base,queries,query,inference_system,solver,optimizer
3396,4.0,False,0.0,789.6999999999999,0.6,False,False,randomTest_100_120_78,,"(((!(!uvjpfp)),(!(!ftuukv)))|(((!(laoblj;hhsrou)),(!gxkcms));(wngpqe,eaxlxy)))",c-inference,z3,rc2
3523,6.0,False,0.0,759.6,0.5,False,False,randomTest_100_120_95,,"(xdoglp|(((!fyhdsw);(lbrfzu,ssmfwg)),mssamr))",c-inference,z3,rc2
3118,1.0,False,9907.9,702.9000000000001,1070.2,False,False,randomTest_100_120_28,,"(((!shpsbv);((nkhxrc;zdqtug),lakajv))|cprzhm)",c-inference,z3,rc2
3438,4.0,False,0.0,640.6,0.4,False,False,randomTest_100_120_84,,"((qfcpty;ipdbgf)|((!(ydgxhc;jfught)),(samvse,jctdfj)))",c-inference,z3,rc2
3185,4.0,False,0.0,611.7,0.5,False,False,randomTest_100_120_38,,"(wzqvpr|(bigudv,(foyezf;mgesmu)))",c-inference,z3,rc2
3140,3.0,False,0.0,583.7,0.4,False,False,randomTest_100_120_30,,"((shqxts,mvfnuk)|(kcdlqj;hincqq))",c-inference,z3,rc2
3383,1.0,False,227851.4,580.2,4273.2,False,False,randomTest_100_120_77,,"((((!ilbjoy),(hwoqyv;fthrdz));caeojd)|(qszctw;(!dqxmej)))",c-inference,z3,rc2
3195,1.0,False,7856.6,576.6,1049.5,False,False,randomTest_100_120_42,,"(((risejy,(kvjqdh,qotwpt));hdcmrs)|((!(qclyvq,sjeusj));zivhdl))",c-inference,z3,rc2
3235,1.0,False,57046.2,557.8,1943.1,False,False,randomTest_100_120_55,,(((!gsdgjy);zihtdq)|((!uspgpe);ddaekg)),c-inference,z3,rc2
3093,10.0,True,0.0,535.5,0.4,False,False,randomTest_100_120_21,,"((elaxbq;nvveaw)|(gdrrsh,(!rnmxlk)))",c-inference,z3,rc2
3463,9.0,False,0.0,478.9,0.6,False,False,randomTest_100_120_86,,"((svzoel,lsthgd)|(bushiz,((wfbgqu;((!(fajhyg,verryg));vtemvu)),qaovbn)))",c-inference,z3,rc2
3123,6.0,False,0.0,456.5,0.4,False,False,randomTest_100_120_28,,"(wwvvtg|((xsnaro,(vmtnca;(!qnmgot))),akljxf))",c-inference,z3,rc2
3143,6.0,True,0.0,453.6,0.6,False,False,randomTest_100_120_30,,"((rqyizm;(!hevpqw))|((!cibdhe);(kaywse;(((oiymat,uxbnva),(cnglgh,wjmdwx)),(!ubudjb)))))",c-inference,z3,rc2
3018,7.0,True,0.0,446.5,0.5,False,False,randomTest_100_120_12,,"(iszhsb|((!((((dvcpyd,acnwmh);hcvlzz);(!tmpwfb)),(!(mfqvmo,tgekfq))));(zqnsjd,kpuxvu)))",c-inference,z3,rc2
3197,3.0,False,0.0,441.3,0.5,False,False,randomTest_100_120_42,,"((pzcztv;(!(dbhswn,nwbjwk)))|((!eafvqo),((!pzyncc);udvzcd)))",c-inference,z3,rc2
3005,6.0,False,0.0,421.2000000000001,0.4,False,False,randomTest_100_120_9,,"((nsnlcq,puvigj)|((xjpuav,(!zwphlu));(iutluo,(!iketwz))))",c-inference,z3,rc2
3321,4.0,False,0.0,357.4,0.5,False,False,randomTest_100_120_66,,"((qadmnc,(!(blsujw;(jyqpmi,givfal))))|tjqfxw)",c-inference,z3,rc2
3202,8.0,False,0.0,353.3,0.4,False,False,randomTest_100_120_42,,(((!(uccgys;tnjshj));xkbvtz)|(gdlufv;tgcmym)),c-inference,z3,rc2
3395,3.0,False,0.0,352.5,0.6,False,False,randomTest_100_120_78,,"((sxgxtk;fhsaxk)|(yhgumq,((yuolue,wqcvvc),(vrjaph;pvoswt))))",c-inference,z3,rc2
3282,6.0,True,0.0,351.3,0.4,False,False,randomTest_100_120_61,,"(((omwzjs,gfymhg);(!(jlyxig,mnpddp)))|(pawkgp,(!chzhoj)))",c-inference,z3,rc2
3121,4.0,True,0.0,325.79999999999995,0.6,False,False,randomTest_100_120_28,,"(xsnaro|(((ddydpe,exxyvk);(yuecmw,(vmtnca,zyozru)));((txnuqu,wjjiin),(!(vtkioc,(!nkhxrc))))))",c-inference,z3,rc2
3201,7.0,True,0.0,324.5,0.5,False,False,randomTest_100_120_42,,"((ubzabv;((!tafnlz),(fxkpep,(!(navjqk,(!(osxzlu,nkhelu)))))))|eafvqo)",c-inference,z3,rc2
3518,1.0,False,82540.0,311.90000000000003,2567.0,False,False,randomTest_100_120_95,,"(((!((mzdmlz;fgfswk),(kgvdgw;nnsjeo))),(hxwgfl;mssamr))|fuaecl)",c-inference,z3,rc2
3432,8.0,False,0.0,302.0,0.5,False,False,randomTest_100_120_83,,"(((!(!(!(!ajxday)))),((((!(!gwtekl)),rrimje);cuaeiq);(!(xzipwt,bktsuv))))|(ikkpzp;ikxest))",c-inference,z3,rc2
3039,8.0,True,0.0,300.9,0.5,False,False,randomTest_100_120_14,,"(((((!(!cgahjz)),((!(!vpjwwf));semdsf));dllkfe),(rbfnir;uqjnrs))|((!((esirvp;fqtval);xmcsfa)),mryoxr))",c-inference,z3,rc2
3126,9.0,False,0.0,283.9,0.5,False,False,randomTest_100_120_28,,"(((!(!((!(!toqhfa)),(!((!tbxjak);(!mivtwh)))))),((!(!cwfczu)),(!(!((nkhxrc;exxyvk),tgkbsr)))))|hclpdx)",c-inference,z3,rc2
3267,1.0,False,21609.5,275.8,1341.8,False,False,randomTest_100_120_60,,"((hbdfxd;mznadw)|((rjebmk;jdyhzm),gkzwsi))",c-inference,z3,rc2
3009,10.0,False,0.0,249.4,0.6,False,False,randomTest_100_120_9,,"((((urtweh,fhvmpw);(pibjvp;lyrllp)),rulbnf)|((!afpomg);(ydzlcw,ofyxxn)))",c-inference,z3,rc2
3028,7.0,False,0.0,244.9,0.5,False,False,randomTest_100_120_13,,"(((migkod,xgtmbf);((!clwpfg),((ecbhhi,syrawy),(!ctszwd))))|nghrvi)",c-inference,z3,rc2
3196,2.0,True,0.0,243.6,0.5,False,False,randomTest_100_120_42,,"((((!niypxd);(!dyjbxi));(!kvjqdh))|(brjkoi,(hzqehe;ubzabv)))",c-inference,z3,rc2
3353,1.0,True,59488.0,242.4,2129.0,False,False,randomTest_100_120_74,,"(ivoszp|(((!rdmsqo),dbvsiu);((hugzrk;bmlurw),(!(!(!qekrke))))))",c-inference,z3,rc2
3474,7.0,False,0.0,238.1,0.4,False,False,randomTest_100_120_90,,"((jsrqlz,(dviaes,onvczz))|(zkzsbg,gypybu))",c-inference,z3,rc2
3377,5.0,True,0.0,226.3,0.4,False,False,randomTest_100_120_76,,"(juvaji|(qqrufv,((!(qufsur,pmrtkn)),((!(!czdlzi)),ujvpgg))))",c-inference,z3,rc2
3265,10.0,True,0.0,222.7,0.4,False,False,randomTest_100_120_58,,"(hnuumw|((!(ptmyyx,(ykqote;(xndyie,ccbkgt))));(wdlcdh,uzfcky)))",c-inference,z3,rc2
2959,4.0,True,0.0,212.6,0.5,False,False,randomTest_100_120_1,,"((kikbou;ttzwcj)|(nxyjjz,jttnzn))",c-inference,z3,rc2
3229,7.0,False,0.0,203.6,0.6,False,False,randomTest_100_120_52,,(uvnaav|((!((mscnvb;tgipsq);fdivst));(!(!crrqzt)))),c-inference,z3,rc2
3451,7.0,False,0.0,185.0,0.6,False,False,randomTest_100_120_85,,"(kzaaah|((!((((!(!kqeozx));hofqjr),(!(!lvkbtk)));hhrrtl)),((szhlxr,(uoxyfs;djeglw)),(!(lzczac,ayxfrz)))))",c-inference,z3,rc2
3366,4.0,False,0.0,183.2,0.5,False,False,randomTest_100_120_75,,"(((!ajtpmr);vxirja)|((!(yhuhsu;lnlelq)),((srjjug;(bzqake,kuxfsc));lkttbg)))",c-inference,z3,rc2
3365,3.0,False,0.0,180.7,0.4,False,False,randomTest_100_120_75,,"((kqtkcj;mghcwz)|((!(!agduid)),sijacv))",c-inference,z3,rc2
3367,5.0,False,0.0,176.29999999999998,0.4,False,False,randomTest_100_120_75,,"((nzaorp;dgcjpf)|(rewapk;((!(!xjglfi)),(!xfdbhc))))",c-inference,z3,rc2
3347,6.0,False,0.0,167.3,0.6,False,False,randomTest_100_120_72,,"((((gzcncw;haemto),(!cfqoyr));((!(izatju;odngga));(xnumxh;nfhjie)))|uwmgae)",c-inference,z3,rc2
3047,6.0,False,0.0,166.5,0.5,False,False,randomTest_100_120_15,,"(((dlifjv,wekibc);nnxmgs)|((((!iljzvu),((!muaskd),(!liopva)));tgciob);(!((ervfal,(!(!coffwl)));dzsbme))))",c-inference,z3,rc2
3527,10.0,True,0.0,165.7,0.5,False,False,randomTest_100_120_95,,(((hxwgfl;iqduat);ocfasc)|(xqdiyt;fqavpw)),c-inference,z3,rc2
3044,3.0,False,0.0,165.1,0.4,False,False,randomTest_100_120_15,,"(((rrabrc,(!(!qocolm)));((((!ydpqik),kexijt);eidmwq),(!fkyrby)))|(dzsbme,(!(!((!(ordibp,dltgbp));rtfnan)))))",c-inference,z3,rc2
3050,9.0,False,0.0,164.29999999999998,0.4,False,False,randomTest_100_120_15,,"((eidmwq,((sjdtuu,uodumz),(((klpeoc;xzursm);eugivl);syfbgt)))|((ahgfov;narwvw);fdbymx))",c-inference,z3,rc2
3131,4.0,False,0.0,162.7,0.5,False,False,randomTest_100_120_29,,"((ohtiws,(zpnpxm,aewdzt))|(mxzgxy,(symbhp,nfwoge)))",c-inference,z3,rc2
3278,2.0,True,0.0,162.0,0.4,False,False,randomTest_100_120_61,,((treadh;uegzqr)|((!(!ihdwpj));vvuehz)),c-inference,z3,rc2
3048,7.0,False,0.0,160.9,0.4,False,False,randomTest_100_120_15,,"(((!(ordibp;nnxmgs)),tlvncb)|wekibc)",c-inference,z3,rc2
3043,2.0,False,0.0,160.4,0.6,False,False,randomTest_100_120_15,,"(((!(putfep;klpeoc)),(!(byxraw,wthhxc)))|zlefcp)",c-inference,z3,rc2
